Negation type	Category	Sentence
without	Negation of action/behavior	a group of three people pose for a picture with smile while another sits aside without smiling .
not	Negation of action/behavior	a goalie on a hockey team with the colors of blue , white and yellow , ice skated pass the goal and did not manage to block the puck from the opposing team from going into his goal .
not	Outside the frame	a construction worker pointing to an object or area not seen in photo .
without	Salient absence	a man is welding without the proper safety equipment on .
no	Salient absence	a young black man wearing no shirt and low-riding jeans is popping a wheelie on a bicycle while listening to music through an earbud .
no	Salient absence	man in hat and overalls with no shirt standing with man in striped shirt
without	Salient absence	a man without a shirt on is rock climbing .
not	Negation of action/behavior	a group of adults holding musical instruments , they do not appear to be playing the instruments .
without	Salient absence	two girls are standing in shallow water without shoes .
nothing	Salient absence	a man in nothing but a pair of shorts and green crocs stands on a bridge covered with snow .
no	Salient absence	two boys wearing black shorts and no shirts kicking a ball over a net .
without	Salient absence	a man without a shirt runs through water spraying out of a large silver dome .
without	Salient absence	a man wearing red pants without a top is holding on to a ladder .
not	Not a description/Meta	not having such a good day .
without	Salient absence	a man in blue shorts and without a shirt is jogging down the road while listening to his ipod .
no	Salient absence	a man on a motorcycle with no shirt on at a bike event .
miss	Negation of action/behavior	two female volleyball players on the court with the one in the front falling because she missed the ball .
no	Quotes and idioms	a professional tennis player returns a shot with a back hand from no man 's land .
no	Salient absence	a man , in cutoff jeans and no shirt , is standing in a crowd on the beach .
fail	Negation of action/behavior	two girls play softball , one slides into plate as other fails to catch ball .
not	Salient absence	a quartet of young people , possibly spanish or portuguese , wearing red bandannas , while one conspicuously does not , stroll down a boulevard .
n't	(Preventing) future events	skinny dark complected boy , jumping into a vast of water with his nose held so water does n't rush in .
not	Quotes and idioms	"many people take pictures as a blond woman wearing a cover-up only costume holds a sign proclaiming "" photographers not predators "" on a pier ."
without	Salient absence	an old guitar player without a shirt on is pointing , sweating .
without	Salient absence	three people wearing helmets and crime stoppers jerseys are walking down a street in a parade , with another woman wearing a green shirt and without a helmet .
not	Outside the frame	three boys on a basketball court , wearing team uniforms , are attempting to reach a basketball which is not photographed but appears to be descending just out of their reach .
n't	Other	an elderly gentleman displays that he still has n't lost his knowledge of how to operate , with just a couple of horses and an old plow , free of automation .
without	Salient absence	a boy scaling down rocks without any climbing gear .
not	Other	a group of guys are not he football field playing football .
without	Salient absence	a skateboarder without a shirt grabs his board in the air .
no	Salient absence	a man in a blue shirt with a yellow bag is alone near some trees with no leaves .
without	Salient absence	a young boy plays in the snow without a shirt on .
miss	False positive	a person in the ocean wearing a protective vest is being lifted by a helicopter as part of a rescue mission .
not	Outside the frame	there are 3 people in this picture , a man who is looking through some object , another looking at something else perhaps not in the picture , and a little girl with her mouth open wide .
no	Salient absence	a man with long , blond-hair and no shirt , walk behind a black truck .
no	Salient absence	two caucasian males , one wearing a denim baseball cap and purple shirt , second guy with no baseball cap , wearing safety goggles , straddling a wood pallet .
without	Salient absence	four men are sitting in front of two large windows ; one man is playing a guitar , one is playing the bongo drums , and two are sitting back without instruments .
without	Salient absence	a man without a shirt standing on a roof .
without	Salient absence	man without shirt climbing rock face .
not	Salient absence	three men , one wearing a hat and two who are not , are kneeling on the ground digging in the dirt surrounding a cement platform .
no	Salient absence	person with no hair and makeup sits next to others in front of portable toilets .
no	Other	five kids jumping for no real reason
no	Salient absence	no traffic because it is sunday and the man is waiting to cross the road .
no	False positive	a yellow bus with no 3113 on the bus stop and people hopping in .
not	Salient absence	skateboarder not wearing a shirt does a cool trick .
n't	Negation of property	a middle-aged man 's shaving his beard in a room with white walls which does n't look like a bathroom .
n't	Not a description/Meta	people on a highway celebrating ( i honestly do n't know )
without	Salient absence	a guy without a shirt sleeping in front of a window .
not	Negation of property	two people covered in paint stand behind a male who is not covered in paint , all waiting for a fresh fruit smoothie or juice .
no	Salient absence	a man with no shirt and purple pants crouches while tampering with a metallic object .
not	Negation of property	a man pulls a yellow hose , there is a shadow in the background that is clearly not his own .
miss	Salient absence	a young girl with a front tooth missing dressed in a plaid skirt and blue shirt riding on a shopping cart in a grocery store .
no	Salient absence	a man with no shirt plays basketball .
without	Salient absence	a table of computer laptops and their users , in the background are people without computers .
no	Negation of action/behavior	a young man flies through the air in a no hands stunt on a bike .
without	Salient absence	some people are standing up in a truck , or a large vehicle that is without a roof , that has normal ist anders painted on the right side of the windshield .
no	Negation of action/behavior	a woman in the picture has fallen down and no one is stopping to help her up .
not	Negation of property	this fruit market is not busy yet .
no	Salient absence	no protection football guy getting tackled
no	Salient absence	man with no shirt and woman wearing all black are running in the sand .
no	Salient absence	a man with no shirt is wearing gloves and holding a mask .
sans	Salient absence	a group of young asian men who are sans shirts and wearing identical black and white plaid pants with red belts are dancing and waving their arms in the air around a fire .
no	Quotes and idioms	an older woman in a green shirt leaning against a white concrete block wall that has a sign on it that says no estacione .
without	Salient absence	man during sunny afternoon top of roof fixing light without shirt .
without	Salient absence	three chefs in a kitchen , the left most chef is flipping something in a frying pan , the middle chef is the only one without a hat , his hands are blurred from movement , the right most chef is wearing glasses and arranging food artfully on a plate .
not	Negation of action/behavior	two women who did not aim the camera at their faces .
no	Salient absence	a man with a beard and no shirt on has his bicycle upside down and is repairing it .
no	Salient absence	you african american boy with no shirt on smiling while holding a bowl of food .
not	(Preventing) future events	a stewardess on an airplane pushes a cart down the center isle , looking carefully so as not to bump any of the passengers .
not	Salient absence	a little baby on a tricycle seems to not be wearing any clothes .
no	Salient absence	a man wearing no shirt is trimming his beard with an electric trimmer while standing in a driveway .
no	Salient absence	a man is on stage with no shirt on grabbing a pool at what looks like a tv sporting event .
no	Salient absence	a man with no shirt sits on a black moped .
miss	Negation of action/behavior	two men playing soccer , and one man just missed the goal .
no	Salient absence	two children running with no shoes on .
without	Salient absence	a woman is in a deep sleep without her shoes on .
no	Salient absence	a skateboarder attempts a trick with no shirt on .
n't	Quotes and idioms	three young boys are engaged in a game of do n't drop the melon .
no	Quotes and idioms	the young boy looks at the woman like she has no idea what he 's been through .
no	Salient absence	a large horse with gear , but no rider .
no	Quotes and idioms	"three individuals are posing on skis behind a "" no skiing "" sign ."
fail	Negation of action/behavior	dark-skinned individual having a failed high jump attempt .
n't	Other	a woman looks to have jumped on top of somebody holding a beer , the bar does n't seem too far behind .
n't	Not a description/Meta	a cloudy day in a city does n't keep away crowds of men and women on the sidewalks .
not	Other	a man and a woman sit on a bus , but not together .
no	Quotes and idioms	"three boy do "" hear no evil , see no evil , speak no evil . """
not	(Preventing) future events	the cowboy in blue is trying not to be thrown off of the horse .
no	Salient absence	the man with no shirt and flip-flops looks at the women in white shorts .
miss	Negation of action/behavior	a girl hitting a softball but she missed the ball .
no	Salient absence	a man with no shirt sits on a rock in front of a blue building with a tin roof .
lack	Quotes and idioms	"an older woman with arm crutches is dressed in white and going through her white purse in front of a poster that reads "" lack of money is the root of all evil . """
no	Salient absence	a young boy with no shirt and white shorts .
miss	False positive	three college students studied quietly together missing out on a bright sunny day .
lack	False positive	a lack dog and a brown and white dog run on a gravel surface with something red underfoot .
no	Salient absence	a man wearing no shoes and has his shirt unbuttoned is laying down in front of a doorway that is looking outside .
not	Negation of action/behavior	there is a little boy in a swimming pool area everything around the boy and the pool are wet however the boy is not swimming but instead he is jumping into the water with blue swimming trunks on and his arms out .
not	Not a description/Meta	smoking is not good for health , it harms your lungs .
not	Salient absence	a man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent .
n't	Not a description/Meta	a man in striped socks and a brown and white jumper is using some kind of object i ca n't identify properly .
not	Negation of attitude	a woman teaching a young girl not to be afraid of puppies .
not	Other	a baseball player ( not the pitcher ) is winding up to throw the ball to another player .
miss	Salient absence	a bike rider with khaki green shorts , a blue shirt , backpack and helmet is riding on the street near a red station wagon that is missing a hubcap on the back drivers side .
miss	False positive	two coast guard officers out on a training mission .
no	Quotes and idioms	"protesters with "" no new coal "" signs in urban area ."
no	Quotes and idioms	"three people in skiing gear are standing behind a "" no skiing "" sign ."
no	Salient absence	a busy street of people and two men are wearing no shirts .
n't	Negation of attitude	woman who just took pizza out of the oven and ca n't wait to eat it .
not	(Preventing) future events	a person trying desperately not to be photographed by putting their sweater over their head as they compute .
without	Salient absence	two little kids without shirts are sitting down facing each other .
n't	Negation of action/behavior	two women are standing outside looking at something with funny expressions on their faces while the other people around them do n't seem to notice .
nothing	Negation of action/behavior	a tall and bored looking man is just standing around doing nothing .
no	Salient absence	"a tattooed man in overalls , no shirt and a baseball cap is holding a microphone in front of a crowd and giving the "" peace "" sign with his other hand ."
no	Salient absence	a young girl plays in the snow wearing gloves and no coat .
not	Outside the frame	there are several people in the photograph and you can not see their faces , but some of them are waving their arms around .
without	Salient absence	a man without a shirt on is doing work on the side of a building .
no	Salient absence	a guy standing outside with no shirt on looking up at the building .
without	Negation of action/behavior	a kid eating out of a plate without using his hands .
no	Salient absence	there is a man in a kilt with tattoos and no shirt walking down the street carrying his skateboard .
not	Negation of action/behavior	a man and a woman wearing coats are facing standing outside facing each other , but not looking at each other .
without	Salient absence	a man without a shirt poses with his arms spread next to a woman .
miss	Negation of action/behavior	a cowboy is on the ground in a rodeo ring , holding onto his horse by a rope , just missing a calf .
no	Salient absence	two young men stand outside a home in the middle of winter with no coats on and wait to be let in .
not	(Preventing) future events	a cowboy tries not to fall off of the bucking cow , while spectators , a man on a horse , and a rodeo helper observe .
without	Salient absence	an african american man is running near the water without a shirt .
no	Salient absence	a man wearing blue pants and no shirt is painting a floor blue .
no	Salient absence	people are hiking up a mountain with no greenery .
no	Salient absence	a man wearing no shirt and reading a newspaper is standing in a park .
no	Outside the frame	no faces are shown in this picutre of jeans and sweatshirts .
n't	Negation of action/behavior	a man aims his camera at something in front of him but he is n't looking through the camera .
no	Salient absence	a young man with no shirt on is wearing black pants and sneakers is jumping over a blue skateboard .
no	Salient absence	hawaiian man wearing a lauhala with no shirt surrounded by tress is playing a wooded instrument while woman watches him .
no	Salient absence	blue tractor digging in front of a building with a mural of a man laying down with no clothes on .
no	Salient absence	a man lies in an alley next to two plastic bags , wearing one shoe and no shirt .
not	Outside the frame	a lone , 2-3 year old blond child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room .
without	Salient absence	a man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .
no	Salient absence	a man with no shirt speed skateboards downhill .
without	Salient absence	a man in a yellow shirt and a man in a plaid shirt walk past a man without a shirt who is holding a cup .
without	Salient absence	a wet , smiling child without a shirt poses with arms raised .
miss	Salient absence	old woman missing teeth stands with metal object in hand .
no	Salient absence	many men , with black bags over their head and no shoes are being lead to a specific destination .
miss	False positive	a newsstand so packed with magazines , candy and coke-a-cola products that the smiling woman working behind the counter is easy to miss .
no	Quotes and idioms	a woman with a red no sleeve shirt with black shorts is running .
not	Negation of action/behavior	three women with headscarfs holding packages , two smiling , one not .
n't	Negation of attitude	people outside , this young woman does n't look too happy .
no	Salient absence	man with lots of tattoos and no shirt , wearing a skirt .
without	Salient absence	a man without a shirt on is riding a bicycle .
without	Salient absence	an old man is walking home in the rain without an umbrella .
without	Salient absence	a man climber a large rock without any gear while his friends watch
no	Salient absence	an older gentleman in a coat is carrying a walking cane , garbage bag and end table with no top .
not	Not a description/Meta	karate is not for the light-hearted !
without	Salient absence	a man is rock climbing without gear .
no	Salient absence	a small boy , wearing shorts and no shirt , is running outdoors .
miss	False positive	a soldier training a german shepherd for a mission .
no	Salient absence	a man and women wearing jeans and no helmets are riding on a suzuki street bike .
miss	Negation of action/behavior	a female batter misses a yellow ball while another player practices behind her .
without	Salient absence	a child wearing blue tee-shirt playing with an orange pinata without a blindfold .
without	Salient absence	a white male is wearing jean coat and pant while welding without eye protection .
miss	Negation of action/behavior	a cricket player misses the pitch .
no	Salient absence	a man walking in the sand with no shoes on .
not	Salient absence	a man , not wearing a shirt , is sitting on a rock and looking through a makeshift telescope .
without	Salient absence	four men in cargo shorts without shirts on are standing on metal scaffolding .
no	Salient absence	a guy with no shirt on is skateboarding .
not	Negation of attitude	fat man climbs a tree , but his fat girl friend and dumb dogs wearing sweaters are not impressed .
not	Negation of attitude	a young japanese man does not like his picture taken .
no	Salient absence	a man in a brown shirt and jeans kneels with no shoes on a rug near a blue wall and a black gate .
never	Quotes and idioms	"a man , talking on a cellphone , passes a brick building , with a sign on it , repeating , "" never sleep again . """
no	Salient absence	a man wearing jeans and no shirt is midair doing a kick flip on a skateboard .
not	Salient absence	woman in nice clothes does not have an umbrella .
no	Other	a man with curly hair and glasses tries to tug a large rope on a boat to no avail .
no	Salient absence	a child with a striped shirt and no shoes on rides the shoulders of a man with a red sweatshirt .
without	Negation of action/behavior	a baseball player reaches the base without being touched by the opposing player .
n't	Not a description/Meta	the images are n't showing up , so i 'm going to assume the picture is lovely .
without	Salient absence	man walking around without a shirt , carrying the newspaper .
miss	Negation of action/behavior	men playing volleyball , with one player missing the ball but hands still in the air .
miss	False positive	a man in a down jacket leans against a pillar with a missing persons sign while smoking a cigarette .
fail	Negation of action/behavior	two men trying to give directions and failing completely , confusing their victim in the process .
no	Salient absence	a very brave person is skying down a steep slope with no clouds in the sky .
not	Quotes and idioms	"a man holds up a tiny sign reading "" i 'm a photographer not a terrorist . """
not	Salient absence	two men not wearing any pants are sitting next to each other , both reading , on public transportation .
n't	Quotes and idioms	"a woman in a blue winter coat and a person in a black winter vest are crossing the street when the "" do n't walk "" sign is lit ."
no	Salient absence	a man wearing shorts but no shirt works on a sand sculpture at the beach while two people buried in the sand watch underneath a blue umbrella .
miss	Salient absence	an elderly woman with missing teeth holding a flower .
without	Salient absence	a young girl with blue and pink ribbons in her braids , without a top and a woman with a white t-shirt and a zebra skirt wading in a public water fountain .
n't	Not a description/Meta	why are n't these girls in the kitchen instead of playing with toys ?
not	Negation of property	three human carriages that are not in service , two of them being used by barefoot men for shade on a hot day .
no	Salient absence	two men are sitting on a patio , one has no shoes on and is drinking a bottle with a yellow cozy over it .
not	Negation of property	an asian toddler eyes an alcoholic beverage he 's not old enough for .
no	Salient absence	a man with an egyptian headdress and no shirt on holds up a doll and smiles .
no	Salient absence	a man with no shirt on and holding a blue container is getting soaked .
no	Salient absence	a bulldozer on a beach with no water .
not	Quotes and idioms	the police are putting up a do not cross line , while many spectators watch .
without	Salient absence	a kid without a shirt uses an innertube for shade .
without	Negation of attitude	the young child sits on the swing without a thought in his mind .
not	Other	a boy is sitting on a small boat with two flags flying from it not far from the coast with some trees in the background .
no	Salient absence	a young man with no shirt on is riding a bike .
no	Quotes and idioms	"a girl is holding a green sign that says , "" invisible children no child should be a shoulder . """
no	Salient absence	a young woman with long hair and no helmet is riding a skateboard in a park with a mural behind her .
without	Salient absence	a man without a shirt on is laying on the sidewalk .
not	Other	eight young girls in a school gym are on mats , wearing gym clothes and practicing cheerleader moves while in the background are the backs of two more young girls , not on the mats , who are also practicing moves .
no	Salient absence	a young girl sits on the edge of a stream in pink polka dot pants with no shirt .
no	Salient absence	a man with no shirt and a cigarette ties up a green garbage bag .
no	Quotes and idioms	a women` s hand and arm with blue fingernail polish and a tattoo that reads no regrets .
not	False positive	a male guitar player is vigorously singing a not to a song in a poorly lit room .
no	Salient absence	a man with no shirt is standing on a scaffold .
not	Negation of attitude	a man sitting on a panel not enjoying the speech .
without	Salient absence	a child without a shirt running in the dirt .
no	Quotes and idioms	two women in large sombreros smile next to a no smoking sign .
miss	Negation of action/behavior	a little girl in a salmon skirt attempting to hit a soccer ball but missing .
no	Negation of action/behavior	a street scene perhaps at an event or rally of some kind , heavyset man in the foreground , no one is really facing the camera .
not	Negation of property	two enormous elephants standing on a platform not fenced in , with a lady sitting causally sitting on a bench , in front of them .
no	Salient absence	an asian man with no shoes and wearing a white t-shirt carrying wood in baskets .
nothing	Salient absence	a man wearing bright orange construction vest washing down a train with nothing but a long handled scrubber and a wash bucket
no	Salient absence	a man is running on the beach with no shirt on .
n't	Other	roofer going to get the rest of his tools after realizing the chainsaw is n't the right tool for the job .
no	Salient absence	a man with long gray hear and a mustache sits on the ground and has on no shoes .
no	Salient absence	a man in a blue ball cap and wearing no shirt working on a roof .
n't	Negation of action/behavior	one young girl about six years old , with blond-hair wearing a lime green jacket , blue pants , and red rain boots , is tapping her foot in the lake and she does n't even see the canoe in the distance by the trees without leaves .
not	Negation of action/behavior	many people are sitting by long tables filled with computers but most are not using them .
fail	False positive	young karate student stares into the mirror at his failure in life .
miss	False positive	a bald mad smokes a cigarette beside a pillar adorned with a poster of a missing young woman .
not	Other	a man in a blue shirt rides a skateboard along a railing not far from a brick wall .
no	Salient absence	a soccer player with no shirt standing in the middle of the field .
not	Salient absence	men are covered in some red color , not wearing a top and playing checkers .
no	Salient absence	two young men one in a yellow sweatshirt and the other has no top on they are tossing a piece of green material .
no	Salient absence	a man wearing no shirt and many large feathers on his head is looking into a shoe store .
no	Salient absence	a man with no shirt jumps of a ledge into the water .
no	Salient absence	a man with no shirt works on a conveyor belt .
without	Salient absence	young people on skateboards and one without a shirt jumping in the air .
fail	False positive	girl gets all her fingers cutoff trying to catch a frisbee , fail !
not	Salient absence	a man not wearing a shirt dancing by himself with his eyes closed .
without	Other	there are 5 people on a stage without their face showing behind a red curtain
not	Negation of action/behavior	a pole vaulter in a blue and red uniform has just gone over the bar but has not yet let go of the pole .
nowhere	Quotes and idioms	a girl with long blond-hair in the middle of nowhere with mountains in the background wearing a shirt from argentina .
no	Salient absence	a lady and a man with no shirt sit on a dock .
no	Salient absence	a man wearing no shirt does a trick on his red and black bicycle .
no	Salient absence	a brown kid wearing jeans and no shirt is weaving a straw rug .
without	Salient absence	a little boy is eating pie without utensils .
without	Negation of action/behavior	man , who can operate without looking , tosses pizza dough while two others watch .
n't	Negation of attitude	the dog in the picture does n't like blowing dryer .
no	Salient absence	a boy wearing no shirt and some blue jeans is jumping in the air in the woods .
no	Quotes and idioms	"a woman 's hand with blue nail polish and a tattoo that says "" no regrets . """
not	Outside the frame	a woman whose head is not visible walks in front of a bus with an advertisement on its side .
no	Other	a boy band and no one even matches someone should have sent a memo .
no	Quotes and idioms	"a woman is riding a bicycle in her underwear with "" no oil "" painted on her chest ."
no	Salient absence	two men with no shirts are jumping , the one in the foreground is wearing yellow trunks , and the one in the background is wearing blue pants .
without	Negation of action/behavior	man serving another man a beer without using a cup .
no	Salient absence	a woman wearing a red and pink garment is making pottery out of clay on the ground with no shoes on .
no	Salient absence	a male with no hair is exercising with waits in a gym .
no	Salient absence	a man with no shirt is playing tennis .
no	Salient absence	a young child with no shirt and flip-flops sits on a skateboard in the middle of a street .
without	Salient absence	a man without a shirt working on a rooftop .
no	Salient absence	a man wearing no shirt climbs a steep cliff .
not	(Preventing) future events	trying very hard not to blend any of the yellow paint into the white .
n't	(Preventing) future events	a young boy sits atop his dad 's shoulders as his dad grasps his child 's feet so he wo n't fall .
no	Quotes and idioms	a man walking past a lamp post with a sign saying ' no dogs allowed ' .
no	Salient absence	a man wearing a floral shirt and tie is holding drumsticks , as a man with no shirt and gray pants is smiling and holding another drumstick .
n't	(Preventing) future events	a groom holding up his bride 's train to ensure that it does n't get wet on a rainy day .
n't	Quotes and idioms	"a man posing with a "" november ca n't come soon enough "" poster ."
no	Salient absence	a young woman is rock climbing with no rock climbing gear on .
n't	Other	a little toddler trying to look through a scope but ca n't reach it .
no	Salient absence	sculptor applying concrete to large statue of human figure standing with no head .
not	Negation of action/behavior	during a race , the blue biker cleared a jump safely , while another biker appears to not be doing as well as the biker jumping .
not	Quotes and idioms	two people are crossing the street , even though the sign says they should not be .
no	Salient absence	a man with no shirt fishing .
without	Salient absence	a man is skateboarding on a ramp without any shoes .
no	Salient absence	a man in a brown hat is helping a man with no hair up off the ground .
not	Negation of attitude	two men are showing a fighting move while one man appears not to be enjoying it too much .
not	Salient absence	two men in underwater breathing suits are underwater with another person not in a breathing suit .
miss	False positive	volunteers are in this picture with their dog searching for a missing girls last known playing in the woods .
not	Quotes and idioms	"people walk down a city street at nighttime in front of construction and a "" do not enter "" street sign ."
no	Salient absence	a white man working a spotlight with no shirt on .
no	Salient absence	a man is rock climbing with no noticable harness .
no	Salient absence	a man with no shirt and black pants is playing the drums .
without	Salient absence	a man wearing a vertical striped shirt and blue jeans naps without his shows on a brown couch covered with a red velveteen throw blanket .
not	(Preventing) future events	a man is riding a bucking horse trying to hold on and not get thrown off .
not	Quotes and idioms	"a man holds up a small sticker that says "" i am a photographer , not a terrorist "" while standing among a large group of protesters ."
never	Quotes and idioms	"a man on a cellphone walking past four signs that all say "" never sleep again """
no	Negation of action/behavior	a man is in midair after leaping from a diving board as no one looks on from the seats behind him .
never	Quotes and idioms	a man with white shirt and blue jeans pushing a truck with a picture of a woman edwards saying real colors never dye
no	Salient absence	a lady in a red dress and a guy in a pinstriped suit ( but with no jacket ) are dancing the tango in a courtyard with an amplifier plugged into a wall .
miss	Salient absence	a man in ethnic attire who is missing several teeth is smiling .
miss	Salient absence	an elderly indian woman who is missing most of her teeth and holding a yellow flower .
n't	Not a description/Meta	that does n't look like mud on the horse rider .
no	Salient absence	a man climbs up a cliff face with no safety equipment .
no	Salient absence	two boys with no shirts on wearing blue crocks stand on a rock .
without	Salient absence	a man without a shirt walking towards a gas station .
nothing	Negation of action/behavior	several people are standing holing on yellow bars while others are holding nothing .
no	Salient absence	a man wearing shorts and no shirt is squatting .
no	Salient absence	a man with a hat but no shirt attaches something to a building 's roof .
not	Other	a small dog leaping , but not very high .
miss	Salient absence	this person is laying on the floor at the bottom of the stairs and is missing a shoe .
no	Salient absence	a group of young children in a village with no paved roads .
no	Salient absence	a dog licking his lips in a room with no food in its dish .
no	Salient absence	people can be seen walking down a quaint city street , past colorful buildings and cafe customers sitting under parasols , with no cars in sight .
without	Salient absence	two young girls eating corn on the cob on a sidewalk without shoes .
no	Salient absence	four dark-skinned men with no shirts are working in a field with a cart and several cows .
no	Salient absence	two men being watched by many , wearing no pants or shirt , one having tattoos and wearing some kind of headgear .
no	Other	two little girls with no facial expressions stand close to each other in a city .
without	Other	a waiter waiting for a bus to take her home after long day without getting enough customers at the restaurant .
no	Quotes and idioms	"a man in a blue button up shirt making a speech with a sign next to him saying , "" no more u.s. dollars to israeli pirates and murderers . """
no	Salient absence	a man with no shirt bent down getting something out of a bucket .
not	Negation of action/behavior	the gentlemen wait not speaking to one another .
no	Salient absence	a man in a beige shirt and a black helmet drives a small red vehicle with a cloth black roof and no doors or windows .
not	Salient absence	a man with a cap and not wearing shirt is laying a wooden bench .
not	Salient absence	a man working on a roof the man is not wearing a shirt because it looks like a hot day .
no	Salient absence	a child with a stick and no shirt sitting in the grass
without	Salient absence	a man laying down on grass without socks or shoes , while his tie is covering his eyes .
not	Quotes and idioms	"a city street at night with a person under an umbrella and a "" do not enter "" sign ."
no	Quotes and idioms	many people taking pictures of the mountains in front of a no truck sign
not	Other	a bro is skating on a rail in a skate park with not much around except green grass and concrete .
